uni_cod,facolta,materia_ssd_cod,materia_nome,insegnamento_prof,insegnamento_prof_www,prof_id,insegnamento_id,email,indirizzo,citta,telefono,note,isbn,titolo,data
polimi,,BIO/03,ECOLOGICAL LANDSCAPE PLANNING,Vagge Ilda,https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_didattica=evento&k_doc=675973&aa=2022&lang=IT&jaf_currentWFID=main,1843,507560,,,,,,,,
polimi,,BIO/03,ECOLOGICAL LANDSCAPE PLANNING,Gibelli Maddalena Gioia,https://www4.ceda.polimi.it/manifesti/manifesti/controller/ricerche/RicercaPerDocentiPublic.do?evn_didattica=evento&k_doc=251734&aa=2022&lang=IT&jaf_currentWFID=main,1844,507561,,,,,,,,
unibo,,BIO/01,BIOLOGIA E DIVERSITA' VEGETALE,Stefania Biondi,https://www.unibo.it/sitoweb/stefania.biondi,3330,408717,,,,,,,,
unibo,,BIO/01,PLANT INTERACTIONS WITH GLOBAL CHANGE,Stefano Del Duca,https://www.unibo.it/sitoweb/stefano.delduca,3775,1171178,,,,,,,,
unibo,,BIO/03,BIOGEOGRAFIA E MACROECOLOGIA,Alessandro Chiarucci,https://www.unibo.it/sitoweb/alessandro.chiarucci,3785,1171192,,,,,,,,
unibo,,BIO/03,COLTURE ARBOREE (C.I.),Moreno Toselli,https://www.unibo.it/sitoweb/moreno.toselli,3834,1173434,,,,,,,,
unibo,,BIO/03,BIODIVERSITÀ ED EVOLUZIONE DELL'ALIMENTAZIONE UMANA (C.I.),Giovanna Pezzi,https://www.unibo.it/sitoweb/giovanna.pezzi,5799,1173216,,,,,,,,
unibo,,BIO/02,LABORATORIO DI BIODIVERSITA' ED EVOLUZIONE DELLE PIANTE,Lucia Conte,https://www.unibo.it/sitoweb/lucia.conte,5833,602257,,,,,,,,
unibo,,BIO/01,METABOLITI VEGETALI: RUOLO NELL'ADATTAMENTO DELLE PIANTE E DELL'UOMO ALL'AMBIENTE,Iris Aloisi,https://www.unibo.it/sitoweb/iris.aloisi2,5836,1171214,,,,,,,,
unibo,,BIO/01,BIOLOGIA VEGETALE,Laura Pezzolesi,https://www.unibo.it/sitoweb/laura.pezzolesi,5841,1171100,,,,,,,,
unibo,,BIO/01,MOLECOLE E ORGANISMI NELLE BIOTECNOLOGIE MARINE,Rossella Pistocchi,https://www.unibo.it/sitoweb/rossella.pistocchi,5842,1171004,,,,,,,,
unibo,,BIO/02,LABORATORIO DI BOTANICA SISTEMATICA,Marta Galloni,https://www.unibo.it/sitoweb/marta.galloni,5983,1171201,,,,,,,,
unibo,,BIO/03,ECOLOGIA DEL PAESAGGIO,Borja Jimenez-Alfaro,https://www.unibo.it/sitoweb/borja.jimenezalfaro,5987,25193,,,,,,,,
unibo,,BIO/03,"BOTANICA, ECOLOGIA DEL PAESAGGIO E ZOOLOGIA (C.I.)",Annalisa Tassoni,https://www.unibo.it/sitoweb/annalisa.tassoni2,6000,1173308,,,,,,,,
unibo,,BIO/02,BOTANICA SISTEMATICA E FITOGEOGRAFIA,Juri Nascimbene,https://www.unibo.it/sitoweb/juri.nascimbene,6003,1171297,,,,,,,,
unibo,,BIO/01,BOTANICA,Alessandra Zambonelli,https://www.unibo.it/sitoweb/alessandr.zambonelli,6062,1173399,,,,,,,,
unibo,,BIO/01,BIOLOGIA VEGETALE,Maria Speranza,,6089,25638,,,,,,,,
unifi,,BIO/03,BIOLOGIA E FISIOLOGIA VEGETALE,Bruschi  Piero,https://unifi.coursecatalogue.cineca.it/docente/098590/2024,9735,1184490,,,,,,,,
unifi,,BIO/03,BOTANICA APPLICATA,Selvi  Federico,https://unifi.coursecatalogue.cineca.it/docente/097163/2024,9790,1184732,,,,,,,,
unifi,,BIO/02,DIDATTICA PER LA BIOLOGIA,Dani  Francesca Romana,https://unifi.coursecatalogue.cineca.it/docente/101560/2024,9816,1189106,,,,,,,,
unifi,,BIO/03,BOTANICA FORESTALE,Bussotti  Filippo,https://unifi.coursecatalogue.cineca.it/docente/090966/2024,9818,1184379,,,,,,,,
unifi,,BIO/03,BIOLOGIA VEGETALE,Pollastrini  Martina,https://www.unifi.it/p-doc2-2023-0-A-2c2a3a2e3927-0.html,9824,802913,,,,,,,,
unifi,,BIO/03,ELEMENTI DI BOTANICA GENERALE E LABORATORIO,Guidi Nissim  Werther,https://www.temalegno.unifi.it/p-doc2-2018-0-A-2c303d323b30-0.html,9840,14622,,,,,,,,
unifi,,BIO/03,BIOLOGIA E FISIOLOGIA VEGETALE,Schiff  Silvia,https://www.unifi.it/p-doc2-2021-0-A-2b323b2c322b-0.html,9854,396181,,,,,,,,
unifi,,BIO/02,STRATEGIE RIPRODUTTIVE E EVOLUZIONE DELLE PIANTE,Coppi  Andrea,https://unifi.coursecatalogue.cineca.it/docente/167975/2024,10499,1189123,,,,,,,,
unifi,,BIO/01,BOTANICA CON LABORATORIO,Mariotti  Marta,https://www.unifi.it/p-doc2-2021-0-A-2b323b2c3328-0.html,10500,398239,,,,,,,,
unifi,,BIO/01,ADVANCES IN TROPICAL BOTANY,Papini  Alessio,https://unifi.coursecatalogue.cineca.it/docente/102694/2024,10513,1189077,,,,,,,,
unifi,,BIO/03,ECOLOGIA,Viciani  Daniele,https://unifi.coursecatalogue.cineca.it/docente/100071/2024,10678,1189704,,,,,,,,
unifi,,BIO/02,INVASIONI BIOLOGICHE,Tricarico  Elena,https://unifi.coursecatalogue.cineca.it/docente/106043/2024,10683,1189086,,,,,,,,
unifi,,BIO/02,BOTANICA I,Benesperi  Renato,https://unifi.coursecatalogue.cineca.it/docente/101016/2024,10684,1189698,,,,,,,,
unifi,,BIO/03,ECOLOGIA,Ciofi  Claudio,https://unifi.coursecatalogue.cineca.it/docente/100936/2024,10686,1189705,,,,,,,,
